식당명,주소1,주소2,위도,경도,행정동
피자요 수성점,대구 수성구 수성로 212-6 1층,(지번) 중동 111-3,35.84417034,128.613307,중동
우리동네돈까스,대구 수성구 수성로 214,(지번) 중동 100-2,35.84452922,128.6129748,중동
피자뷰 수성점,대구 수성구 수성로 212-6 1층,(지번) 중동 111-3,35.84417034,128.613307,중동
애프터파스타,대구 수성구 수성로 214,(지번) 중동 100,35.84452922,128.6129748,중동
청담며느리,대구 수성구 희망로30길 22,(지번) 중동 82-1,35.8460623,128.6155798,중동
애요F&B,대구 수성구 수성로 214,(지번) 중동 100-2,35.84452922,128.6129748,중동
라벨라쿠치나,대구 수성구 무학로 151,(지번) 지산동 1063-1,35.83059946,128.625243,지산1동
로칸다,대구 수성구 무학로27길 47 1층,(지번) 지산동 1002-6,35.83453027,128.6247415,지산1동
빠레뜨한남 수성점,대구 수성구 동대구로14길 13,(지번) 지산동 952-7,35.83720287,128.6249759,지산1동
피자헛 대구황금역점,대구 수성구 청수로 166,(지번) 지산동 940,35.83896049,128.6260926,지산1동
포레스토,대구 수성구 지범로 67-5 1층,(지번) 지산동 1140-38,35.82726056,128.6285559,지산1동
테이블투쉐어,대구 수성구 무학로37길 47,(지번) 지산동 1023-4,35.83251737,128.6294013,지산1동
